domain	mediabias_proscience	mediabias_questionblesources	mediabias_conspiracy_psydoscience
ihatethemedia.com	0.0	1.0	0.0
ihr.org	0.0	1.0	0.0
ihypocrite.net	0.0	1.0	0.0
illegalaliencrimereport.com	0.0	1.0	0.0
illicitinfo.com	0.0	1.0	0.0
illinoisvalleytimes.com	0.0	1.0	0.0
ilovemyfreedom.org	0.0	1.0	0.0
imowired.com	0.0	1.0	0.0
imperialcanews.com	0.0	1.0	0.0
independentsentinel.com	0.0	1.0	0.0
indystandard.com	0.0	1.0	0.0
infogalactic.com	0.0	1.0	0.0
informationliberation.com	0.0	1.0	0.0
informer.rs	0.0	1.0	0.0
infoscum.com	0.0	1.0	0.0
innerstrength.zone	0.0	1.0	0.0
interioralaskanews.com	0.0	1.0	0.0
iowacitytoday.com	0.0	1.0	0.0
ipatriot.com	0.0	1.0	0.0
it.sputniknews	0.0	1.0	0.0
ivmmeta.com	0.0	1.0	0.0
jacksonpurchasenews.com	0.0	1.0	0.0
jeffersonreporter.com	0.0	1.0	0.0
jocotoday.com	0.0	1.0	0.0
joerogan.com	0.0	1.0	0.0
jonesborotimes.com	0.0	1.0	0.0
journal-neo.org	0.0	1.0	0.0
judicialwatch.org	0.0	1.0	0.0
justthefacts.org	0.0	1.0	0.0
justthenews.com	0.0	1.0	0.0
kanecountyreporter.com	0.0	1.0	0.0
kankakeetimes.com	0.0	1.0	0.0
kauaisun.com	0.0	1.0	0.0
kcnawatch.org	0.0	1.0	0.0
kendallcountytimes.com	0.0	1.0	0.0
kentcountytoday.com	0.0	1.0	0.0
kentuckianatimes.com	0.0	1.0	0.0
kerncountytimes.com	0.0	1.0	0.0
keywestreporter.com	0.0	1.0	0.0
kingscountytimes.com	0.0	1.0	0.0
knightstemplarinternational.com	0.0	1.0	0.0
laharbornews.com	0.0	1.0	0.0
lakecountygazette.com	0.0	1.0	0.0
laketahoesun.com	0.0	1.0	0.0
lancastercourier.com	0.0	1.0	0.0
larimernews.com	0.0	1.0	0.0
lastfrontiernews.com	0.0	1.0	0.0
lastresistance.com	0.0	1.0	0.0
laxleader.com	0.0	1.0	0.0
leftaction.com	0.0	1.0	0.0
leftexposed.org	0.0	1.0	0.0
lewrockwell.com	0.0	1.0	0.0
libertybell.com	0.0	1.0	0.0
libertyhangout.org	0.0	1.0	0.0
libertytalk.fm	0.0	1.0	0.0
lifenews.com	0.0	1.0	0.0
lifesitenews.com	0.0	1.0	0.0
lindelltv.com	0.0	1.0	0.0
litchfieldhillstoday.com	0.0	1.0	0.0
littleappletimes.com	0.0	1.0	0.0
liveleak.com	0.0	1.0	0.0
londonwebnews.com	0.0	1.0	0.0
louderwithcrowder.com	0.0	1.0	0.0
louisvillecitywire.com	0.0	1.0	0.0
lowedeltanews.com	0.0	1.0	0.0
lucianne.com	0.0	1.0	0.0
maconreporter.com	0.0	1.0	0.0
macontimes.com	0.0	1.0	0.0
madworldnews.com	0.0	1.0	0.0
maga2020.us	0.0	1.0	0.0
magadailyreport.com	0.0	1.0	0.0
magicvalleytimes.com	0.0	1.0	0.0
mainstreamfakemedia.com	0.0	1.0	0.0
manateereview.com	0.0	1.0	0.0
marinleader.com	0.0	1.0	0.0
matsutimes.com	0.0	1.0	0.0
mauireporter.com	0.0	1.0	0.0
mchenrytimes.com	0.0	1.0	0.0
mcleancountytimes.com	0.0	1.0	0.0
meforum.org	0.0	1.0	0.0
memri.org	0.0	1.0	0.0
mena.org.eg	0.0	1.0	0.0
mercedtimes.com	0.0	1.0	0.0
metricmedianews.com	0.0	1.0	0.0
metroeastsun.com	0.0	1.0	0.0
metrolexnews.com	0.0	1.0	0.0
miamicourant.com	0.0	1.0	0.0
miamistandard.news	0.0	1.0	0.0
micdroppolitics.com	0.0	1.0	0.0
middleamericandemocrat.com	0.0	1.0	0.0
mixi.media	0.0	1.0	0.0
mobilecourant.com	0.0	1.0	0.0
mohavetoday.com	0.0	1.0	0.0
mondoweiss.net	0.0	1.0	0.0
montereytimes.com	0.0	1.0	0.0
moonbattery.com	0.0	1.0	0.0
mtonews.com	0.0	1.0	0.0
munciereporter.com	0.0	1.0	0.0
myrightamerica.com	0.0	1.0	0.0
naplesstandard.com	0.0	1.0	0.0
natall.com	0.0	1.0	0.0
nationalenquirer.com	0.0	1.0	0.0
nationalinsiders.com	0.0	1.0	0.0
nationalrighttolifenews.org	0.0	1.0	0.0
nationalvanguard.org	0.0	1.0	0.0
naturalstatenews.com	0.0	1.0	0.0
naturecoasttimes.com	0.0	1.0	0.0
naugatucktimes.com	0.0	1.0	0.0
ncarkansasnews.com	0.0	1.0	0.0
ncfloridanews.com	0.0	1.0	0.0
ncgeorgianews.com	0.0	1.0	0.0
ncindiananews.com	0.0	1.0	0.0
nckansasnews.com	0.0	1.0	0.0
nckentuckynews.com	0.0	1.0	0.0
nealabamanews.com	0.0	1.0	0.0
neatlantanews.com	0.0	1.0	0.0
necalinews.com	0.0	1.0	0.0
necoloradonews.com	0.0	1.0	0.0
neconnnews.com	0.0	1.0	0.0
nefloridanews.com	0.0	1.0	0.0
neindiananews.com	0.0	1.0	0.0
neiowanews.com	0.0	1.0	0.0
nekansasnews.com	0.0	1.0	0.0
nekentuckynews.com	0.0	1.0	0.0
nesacramentonews.com	0.0	1.0	0.0
nevalleytimes.com	0.0	1.0	0.0
newnation.org	0.0	1.0	0.0
news18.com	0.0	1.0	0.0
newsammo.com	0.0	1.0	0.0
newsblaze.com	0.0	1.0	0.0
newsbreak.com	0.0	1.0	0.0
newsheist.com	0.0	1.0	0.0
newshourfirst.com	0.0	1.0	0.0
newsmax.com	0.0	1.0	0.0
newspunch.com	0.0	1.0	0.0
newspushed.com	0.0	1.0	0.0
newsready.com	0.0	1.0	0.0
newsrescue.com	0.0	1.0	0.0
newssloth.com	0.0	1.0	0.0
newsview.gr	0.0	1.0	0.0
newswars.com	0.0	1.0	0.0
newswithviews.com	0.0	1.0	0.0
noqreport.com	0.0	1.0	0.0
nordicmonitor.com	0.0	1.0	0.0
northalaskanews.com	0.0	1.0	0.0
northbirminghamtimes.com	0.0	1.0	0.0
northbluegrassnews.com	0.0	1.0	0.0
northbrowardnews.com	0.0	1.0	0.0
northcoastcanews.com	0.0	1.0	0.0
northcooknews.com	0.0	1.0	0.0
northdsmnews.com	0.0	1.0	0.0
northegyptnews.com	0.0	1.0	0.0
northfultontoday.com	0.0	1.0	0.0
northgwinnettnews.com	0.0	1.0	0.0
northidahotimes.com	0.0	1.0	0.0
northindynews.com	0.0	1.0	0.0
northinlandnews.com	0.0	1.0	0.0
northiowareporter.com	0.0	1.0	0.0
northjeffconews.com	0.0	1.0	0.0
northkentuckynews.com	0.0	1.0	0.0
